Season,S. No.,Home \ Away,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,Position,Played,Won,Draw,Lost
1984-85,14,Sevilla FC,3–0,2–4,2–2,1–0,1–1,0–0,2–0,2–0,0–0,1–2,0–0,1–0,0–1,,0–1,0–0,0–2,2–1,,,,,12,34,10,11,13
1984-85,15,Sporting de Gijón,1–1,2–1,2–2,1–1,2–0,1–0,4–0,2–0,1–0,1–0,0–0,1–1,1–0,2–0,,1–1,1–3,0–2,,,,,4,34,13,15,6
1984-85,16,Valencia CF,1–1,0–0,2–5,0–1,0–0,5–1,3–0,1–1,1–1,0–0,0–0,1–0,2–0,0–0,0–2,,0–0,4–1,,,,,9,34,9,15,10
1984-85,17,Valladolid,0–0,2–2,1–2,3–1,1–2,1–1,3–1,1–1,1–1,2–3,1–0,1–1,1–1,2–3,0–0,1–0,,1–1,,,,,13,34,7,16,11
1984-85,18,Zaragoza,1–0,1–1,2–4,0–0,1–0,1–1,0–1,0–0,3–0,1–2,0–0,0–2,1–2,4–1,2–0,2–2,1–1,,,,,,10,34,11,11,12
1983-84,1,Athletic Bilbao,,2–2,1–2,2–0,3–1,1–1,2–1,4–0,4–1,1–0,2–1,2–1,6–3,5–0,1–0,2–0,1–0,1–0,,,,,1,34,20,9,5
1983-84,2,Atlético Madrid,1–0,,1–2,4–3,1–0,1–0,3–1,3–0,1–1,3–0,1–0,2–1,1–0,1–0,1–1,1–2,3–1,3–3,,,,,4,34,17,8,9
1983-84,3,FC Barcelona,4–0,2–1,,3–1,4–1,5–2,1–0,1–1,2–0,1–0,1–2,0–0,2–0,3–1,4–0,0–0,5–0,0–0,,,,,3,34,20,8,6
1983-84,4,Betis,2–0,1–0,0–0,,2–1,4–1,2–0,2–0,1–0,1–0,4–1,0–0,1–0,1–0,3–0,3–2,3–1,3–1,,,,,16,34,6,10,18
1983-84,5,Cádiz CF,0–1,3–1,1–1,0–0,,1–1,0–0,3–0,1–3,0–0,2–3,1–1,2–0,0–1,0–2,2–0,5–1,1–2,,,,,10,34,10,13,11
1983-84,6,RCD Español,0–0,1–4,1–0,4–1,1–1,,1–1,3–1,1–1,2–0,1–2,2–2,3–0,1–0,2–0,1–2,2–0,0–0,,,,,9,34,11,11,12
1983-84,7,CD Málaga,0–0,5–1,0–1,1–1,1–1,2–1,,2–0,1–0,1–2,6–2,2–2,2–1,1–0,3–1,2–1,3–1,0–1,,,,,17,34,3,15,16
1983-84,8,RCD Mallorca,0–0,1–1,1–4,0–1,1–1,1–1,0–0,,1–1,3–0,0–2,2–1,1–1,2–2,1–2,1–2,1–1,1–1,,,,,11,34,10,12,12
1983-84,9,Murcia,0–1,0–0,0–0,1–0,3–1,2–0,2–1,4–1,,4–0,0–1,3–1,1–0,1–1,2–1,3–3,1–2,0–0,,,,,15,34,11,6,17
1983-84,10,Osasuna,1–1,1–2,4–2,1–0,2–0,0–0,0–0,4–0,1–0,,1–1,0–3,0–0,3–0,1–0,2–0,3–0,1–4,,,,,5,34,17,4,13
1983-84,11,Real Madrid,0–0,5–0,2–1,2–0,6–2,1–0,1–0,2–0,3–2,2–0,,0–0,3–0,2–2,2–1,0–1,2–1,1–0,,,,,2,34,22,5,7
1983-84,12,Real Sociedad,0–1,3–1,0–1,1–0,1–0,1–1,0–2,1–0,0–0,1–0,1–3,,4–0,1–0,3–0,1–0,2–1,2–1,,,,,6,34,14,9,11
1983-84,13,UD Salamanca,1–2,2–2,1–3,1–3,1–0,2–2,1–0,1–1,2–2,3–1,0–1,1–1,,1–0,0–1,1–0,2–2,1–1,,,,,18,34,5,10,19
1983-84,14,Sevilla FC,4–1,0–1,3–1,2–1,2–1,2–1,0–0,0–0,1–0,3–0,4–1,0–3,3–2,,1–1,2–0,2–1,2–0,,,,,8,34,13,8,13
1983-84,15,Sporting de Gijón,2–2,2–0,0–0,2–0,2–1,0–1,2–0,0–3,1–1,2–1,1–2,1–2,1–1,1–0,,1–1,5–1,1–1,,,,,13,34,11,8,15
1983-84,16,Valencia CF,1–2,1–2,2–4,3–1,1–1,4–0,1–1,2–2,1–1,2–0,0–0,2–1,1–0,2–0,0–3,,3–2,1–3,,,,,12,34,12,8,14
1983-84,17,Valladolid,0–0,1–2,2–1,1–0,2–0,0–0,2–2,2–0,2–1,0–1,0–2,4–1,3–1,3–3,2–0,2–1,,2–1,,,,,14,34,11,7,16
1983-84,18,Zaragoza,1–2,2–2,0–1,5–0,1–2,2–4,1–0,1–1,2–1,2–0,3–1,2–1,3–0,1–1,4–1,0–3,1–1,,,,,,7,34,12,11,11
1982-83,1,Athletic Bilbao,,4–1,3–2,3–2,4–0,5–2,3–0,3–2,4–0,2–0,2–4,2–0,4–0,2–1,3–0,2–1,1–1,1–0,,,,,1,34,22,6,6
1982-83,2,Atlético Madrid,0–0,,1–1,0–0,5–2,1–0,1–0,3–0,2–1,3–1,0–0,2–0,1–0,1–1,2–1,2–1,2–1,2–0,,,,,3,34,20,6,8
1982-83,3,FC Barcelona,0–1,2–1,,1–1,2–2,1–0,7–2,2–1,3–0,0–2,2–1,1–0,3–0,1–0,1–1,1–0,3–0,1–1,,,,,4,34,17,10,7
1982-83,4,Betis,5–1,1–3,1–1,,0–1,1–0,3–1,1–1,4–2,2–1,1–1,1–1,1–1,1–2,1–0,2–0,1–1,2–2,,,,,17,34,9,6,19
1982-83,5,Celta de Vigo,0–1,0–4,0–4,1–2,,2–2,3–0,2–2,2–1,1–0,0–2,0–1,2–0,1–0,0–0,2–1,1–0,0–2,,,,,9,34,13,6,15
1982-83,6,RCD Español,3–2,1–2,0–3,0–2,1–0,,2–0,3–0,3–0,1–0,1–1,1–0,1–1,1–1,3–2,5–2,2–0,3–2,,,,,16,34,7,11,16
1982-83,7,UD Las Palmas,1–5,1–2,2–1,1–0,2–2,0–0,,1–2,2–1,2–1,0–3,2–0,4–1,1–1,1–1,1–1,2–2,1–0,,,,,10,34,10,10,14
1982-83,8,CD Málaga,0–0,0–2,1–4,1–0,1–0,2–1,3–1,,1–0,3–0,2–1,1–0,2–3,0–0,1–1,3–1,2–2,1–3,,,,,14,34,10,6,18
1982-83,9,Osasuna,2–2,4–2,1–0,0–0,4–1,4–0,1–1,1–0,,4–2,2–1,0–1,1–0,0–1,2–0,2–1,1–1,1–2,,,,,18,34,9,5,20
1982-83,10,Racing de Santander,0–2,4–0,0–4,2–2,2–0,1–2,2–1,0–0,3–0,,1–2,1–1,1–1,2–2,2–1,4–1,5–0,2–1,,,,,11,34,9,12,13
1982-83,11,Real Madrid,2–0,3–1,0–2,1–0,3–0,2–2,1–0,1–0,2–1,5–1,,4–0,1–0,1–0,1–0,5–1,2–0,1–0,,,,,2,34,20,9,5
1982-83,12,Real Sociedad,1–1,1–0,1–0,2–0,1–0,0–2,1–1,2–0,2–0,2–0,0–0,,4–1,0–0,0–0,2–0,2–1,0–0,,,,,7,34,12,12,10
1982-83,13,UD Salamanca,0–1,1–2,1–1,2–1,1–0,1–0,1–1,2–1,2–0,3–0,0–0,0–0,,2–3,0–2,1–0,1–0,2–0,,,,,13,34,10,8,16
1982-83,14,Sevilla FC,2–1,1–1,0–0,2–0,1–0,2–1,2–0,2–2,1–0,2–0,2–2,2–1,0–0,,1–0,3–1,3–0,1–2,,,,,5,34,15,12,7
1982-83,15,Sporting de Gijón,1–1,2–3,0–0,2–2,0–0,1–0,1–0,3–0,2–1,2–1,1–1,0–0,1–0,1–1,,1–1,0–0,2–1,,,,,8,34,9,15,10
1982-83,16,Valencia CF,1–2,1–0,2–1,4–2,0–1,2–1,0–0,1–1,1–1,2–1,1–0,2–1,4–1,4–0,1–1,,1–1,1–2,,,,,15,34,9,7,18
1982-83,17,Valladolid,0–2,1–3,1–3,2–0,3–1,1–0,1–0,0–0,1–1,2–0,2–2,1–1,3–0,1–4,1–0,1–0,,2–1,,,,,12,34,9,11,14
1982-83,18,Zaragoza,2–1,2–1,2–2,2–0,4–0,3–1,0–0,2–1,4–0,7–2,0–1,1–1,3–2,1–0,0–1,3–2,4–1,,,,,,6,34,17,6,11
1981-82,1,Athletic Bilbao,,2–0,1–1,5–1,3–0,2–1,3–1,3–1,3–1,5–1,4–1,1–2,1–1,2–0,2–1,1–0,4–0,4–1,,,,,4,34,18,4,12
1981-82,2,Atlético Madrid,2–0,,0–1,1–0,1–0,3–0,1–0,1–0,3–1,2–1,0–0,2–3,2–0,1–2,1–1,2–1,2–0,1–0,,,,,8,34,15,4,15
1981-82,3,FC Barcelona,2–2,2–0,,2–2,4–0,4–3,1–3,5–0,4–0,2–0,5–1,3–1,2–0,2–0,1–0,5–1,3–1,2–1,,,,,2,34,19,7,8
1981-82,4,Betis,2–1,3–1,2–0,,2–0,3–1,2–0,1–2,4–1,2–0,1–1,0–0,0–1,2–0,2–0,2–3,4–0,2–0,,,,,16,34,13,3,18
1981-82,5,Cádiz CF,3–0,1–0,1–0,0–2,,5–1,0–0,3–2,0–2,1–0,1–0,1–0,2–1,2–0,3–1,0–0,0–0,1–0,,,,,18,34,3,6,25
1981-82,6,CD Castellón,1–2,3–0,1–6,0–0,0–1,,1–4,1–2,1–1,1–1,0–0,1–2,1–3,0–3,0–2,1–4,1–1,2–1,,,,,13,34,13,6,15
1981-82,7,RCD Español,1–0,2–2,0–4,2–4,1–0,3–2,,0–1,2–1,0–1,1–1,1–0,2–1,2–0,5–1,3–2,3–1,0–1,,,,,17,34,11,5,18
1981-82,8,Hércules CF,3–1,0–1,2–2,3–1,2–1,2–2,2–0,,3–0,1–2,3–4,0–1,2–0,0–1,1–0,2–2,0–2,0–1,,,,,15,34,11,7,16
1981-82,9,UD Las Palmas,2–1,1–2,2–1,3–1,2–0,1–3,2–0,2–0,,0–0,1–1,1–0,0–0,3–1,1–1,3–0,1–1,2–4,,,,,10,34,14,6,14
1981-82,10,Osasuna,0–2,0–1,3–2,0–1,6–1,4–1,3–0,3–1,1–3,,2–1,3–2,0–0,1–0,1–1,2–1,1–1,1–0,,,,,12,34,12,8,14
1981-82,11,Racing de Santander,1–3,1–0,0–1,2–1,2–1,4–1,2–1,2–0,3–1,0–3,,3–2,2–3,3–0,1–0,1–1,3–0,0–1,,,,,6,34,15,6,13
1981-82,12,Real Madrid,1–1,2–1,3–1,4–1,2–0,4–0,1–1,2–1,2–1,1–0,4–0,,1–1,2–1,1–1,3–0,3–1,3–0,,,,,3,34,18,8,8
1981-82,13,Real Sociedad,2–1,1–0,1–1,1–0,3–0,3–1,2–1,2–1,2–0,1–0,1–1,3–1,,1–0,3–0,4–1,4–0,3–0,,,,,1,34,20,7,7
1981-82,14,Sevilla FC,1–0,1–0,2–1,1–1,3–1,4–0,4–1,0–1,0–0,2–3,4–0,0–0,2–2,,0–0,2–0,4–2,5–0,,,,,7,34,15,5,14
1981-82,15,Sporting de Gijón,1–3,3–2,0–0,1–0,2–1,1–0,4–1,1–1,4–0,2–0,2–0,0–1,2–3,0–2,,1–0,2–2,1–2,,,,,14,34,10,9,15
1981-82,16,Valencia CF,4–0,1–0,3–0,2–1,1–0,1–0,1–1,2–0,3–2,4–1,3–0,2–1,1–2,3–2,1–0,,3–0,2–1,,,,,5,34,17,5,12
1981-82,17,Valladolid,1–0,2–1,2–3,3–0,2–0,2–0,2–4,1–0,1–0,2–0,0–0,0–0,2–1,2–1,2–1,1–1,,2–1,,,,,9,34,13,8,13
1981-82,18,Zaragoza,1–0,2–2,2–2,3–3,2–1,3–2,2–2,2–2,1–0,1–1,1–0,2–2,3–2,1–4,1–1,2–0,2–1,,,,,,11,34,13,8,13
1980-81,1,AD Almería,,1–1,2–1,2–5,0–2,2–0,0–3,0–1,0–0,1–1,1–2,3–2,3–2,0–0,1–1,1–0,1–1,3–1,,,,,18,34,6,7,21
1980-81,2,Athletic Bilbao,5–1,,3–1,4–1,2–0,1–2,5–3,1–3,3–0,1–1,1–1,0–2,6–1,3–0,1–1,4–0,4–1,0–1,,,,,9,34,14,7,13
1980-81,3,Atlético Madrid,2–1,2–1,,1–0,0–4,1–0,1–0,2–2,2–1,0–0,3–1,2–0,1–1,2–0,0–0,3–1,5–2,1–2,,,,,3,34,17,8,9
1980-81,4,FC Barcelona,6–0,0–1,4–2,,1–3,3–1,6–0,1–0,1–0,6–0,2–1,2–0,3–0,3–1,3–1,0–3,2–1,0–0,,,,,5,34,18,5,11
1980-81,5,Betis,2–0,2–0,0–1,1–1,,1–2,2–0,4–1,1–0,1–1,1–1,1–0,5–0,2–0,2–0,1–1,2–2,2–0,,,,,10,34,14,6,14
1980-81,6,RCD Español,1–0,1–0,2–0,1–0,1–2,,2–1,3–1,2–1,0–0,2–1,0–0,2–1,2–2,1–0,1–2,0–0,1–1,,,,,13,34,10,10,14
1980-81,7,Hércules CF,1–0,1–2,1–2,0–1,0–1,2–0,,2–3,1–0,0–0,1–2,2–0,3–2,5–1,1–1,1–1,1–1,1–1,,,,,15,34,12,4,18
1980-81,8,UD Las Palmas,3–0,1–3,1–1,1–4,2–4,2–0,1–1,,1–2,2–0,1–0,0–3,1–1,1–2,3–1,1–4,0–2,3–0,,,,,16,34,8,7,19
1980-81,9,Murcia,2–1,5–4,0–2,1–2,2–0,1–1,2–2,1–2,,1–0,1–1,0–2,1–1,0–0,2–1,0–2,0–0,0–1,,,,,11,34,12,8,14
1980-81,10,Osasuna,2–1,2–0,0–0,1–0,1–2,1–0,1–2,1–0,3–1,,1–2,0–3,1–1,2–1,3–0,2–0,2–0,1–0,,,,,6,34,17,6,11
1980-81,11,Real Madrid,4–0,7–1,2–0,3–0,4–2,1–2,3–0,3–0,4–0,3–1,,1–0,2–0,3–2,1–0,2–1,1–1,2–0,,,,,2,34,20,5,9
1980-81,12,Real Sociedad,3–1,4–1,2–2,2–0,2–2,2–1,1–1,2–0,1–0,2–1,3–1,,1–0,3–0,1–2,2–1,1–0,1–0,,,,,1,34,19,7,8
1980-81,13,UD Salamanca,2–1,3–2,1–1,2–1,2–0,3–2,0–1,0–2,0–3,1–2,1–3,0–2,,0–0,2–2,0–1,2–1,3–1,,,,,17,34,7,7,20
1980-81,14,Sevilla FC,1–0,2–0,1–1,1–1,2–1,2–0,0–0,3–2,1–0,1–0,2–0,0–0,1–0,,3–2,1–0,1–0,0–0,,,,,8,34,14,9,11
1980-81,15,Sporting de Gijón,5–2,1–1,3–0,2–1,2–0,0–1,3–1,2–1,2–0,5–1,4–0,2–2,4–0,3–0,,0–0,4–1,1–1,,,,,7,34,14,10,10
1980-81,16,Valencia CF,3–1,0–0,1–1,3–3,3–1,3–1,0–2,3–1,3–2,4–1,2–1,3–2,3–0,2–0,3–1,,2–2,3–0,,,,,4,34,16,10,8
1980-81,17,Valladolid,0–0,0–0,0–2,1–1,2–1,3–1,2–1,3–1,1–0,2–1,1–3,0–0,3–0,2–3,1–2,2–0,,1–1,,,,,12,34,9,13,12
1980-81,18,Zaragoza,1–0,2–3,0–1,1–2,2–0,2–1,1–1,2–3,1–6,3–1,0–0,0–1,2–0,2–0,0–0,1–1,1–1,,,,,,14,34,9,11,14
1979-80,1,AD Almería,,4–2,2–1,1–1,1–1,2–0,1–1,2–0,3–0,3–2,3–3,1–1,0–0,2–0,2–2,0–0,1–0,1–0,,,,,10,34,11,11,12
1979-80,2,Athletic Bilbao,3–0,,2–1,2–1,2–2,1–0,2–0,2–1,3–0,3–1,4–1,3–0,0–1,2–0,4–3,2–3,4–0,3–1,,,,,7,34,15,5,14
1979-80,3,Atlético Madrid,4–1,0–1,,2–1,3–1,1–0,1–1,2–1,0–0,0–0,2–1,1–1,1–1,0–1,3–2,1–3,0–1,3–0,,,,,13,34,10,11,13
1979-80,4,FC Barcelona,2–0,1–0,1–0,,5–0,1–0,3–1,2–0,1–0,3–0,2–1,0–2,0–0,0–0,0–0,0–0,2–1,2–0,,,,,4,34,13,12,9
1979-80,5,Betis,0–0,0–0,0–0,2–1,,3–1,2–0,2–0,3–0,2–1,1–2,2–3,1–1,2–0,4–0,1–0,3–0,1–0,,,,,17,34,5,10,19
1979-80,6,Burgos,2–1,1–1,1–1,0–0,1–1,,0–0,1–1,2–2,1–0,1–1,1–2,1–3,2–0,1–0,0–3,1–1,0–1,,,,,14,34,9,12,13
1979-80,7,RCD Español,5–2,0–0,0–1,2–0,0–0,1–0,,0–0,0–1,1–1,1–0,0–0,1–2,1–1,1–0,1–0,1–1,2–0,,,,,15,34,8,12,14
1979-80,8,Hércules CF,4–0,2–1,2–3,1–1,1–1,3–0,0–1,,1–0,1–0,2–2,0–0,0–0,4–0,0–1,1–1,1–1,3–1,,,,,12,34,13,6,15
1979-80,9,UD Las Palmas,3–2,1–1,4–2,0–1,1–0,2–1,1–0,2–1,,1–1,3–0,1–2,2–2,1–0,2–0,4–2,2–1,0–0,,,,,18,34,8,6,20
1979-80,10,CD Málaga,0–1[a],1–0,1–0,0–0,1–0,3–1,1–2,0–2,1–0,,1–3,1–4,0–0,–[b],2–1,0–3,2–1,1–1,,,,,16,34,9,8,17
1979-80,11,Rayo Vallecano,1–2,2–1,4–1,0–0,0–1,5–2,2–2,2–1,1–0,5–1,,1–2,1–1,1–2,1–1,1–2,1–0,0–1,,,,,5,34,12,12,10
1979-80,12,Real Madrid,4–1,3–1,4–0,3–2,1–1,2–1,2–0,5–0,3–1,2–1,7–0,,2–2,2–0,2–0,1–0,3–1,3–2,,,,,1,34,22,9,3
1979-80,13,Real Sociedad,1–0,4–0,2–0,4–3,0–0,2–2,1–0,1–1,1–0,3–1,4–0,4–0,,1–0,2–0,4–1,0–0,2–1,,,,,2,34,19,14,1
1979-80,14,UD Salamanca,2–1,2–1,1–1,1–1,3–0,1–3,2–0,2–1,2–0,3–0,3–0,1–1,0–1,,2–1,0–1,1–1,0–1,,,,,9,34,13,8,13
1979-80,15,Sevilla FC,3–1,3–1,2–2,3–1,2–1,6–1,2–1,2–1,0–1,3–1,1–1,1–1,2–1,2–0,,1–0,2–1,2–1,,,,,8,34,14,6,14
1979-80,16,Sporting de Gijón,1–0,2–0,0–0,4–1,3–1,2–0,2–0,0–0,4–1,0–1,1–0,1–1,0–1,0–0,2–1,,4–2,1–4,,,,,3,34,16,7,11
1979-80,17,Valencia CF,1–1,2–0,2–1,1–1,2–2,3–1,5–1,0–0,4–0,3–1,2–1,2–0,0–0,2–2,2–1,3–1,,3–0,,,,,6,34,12,12,10
1979-80,18,Zaragoza,0–0,1–0,0–0,2–2,5–1,5–0,1–1,1–0,4–0,3–1,3–2,0–1,0–2,1–2,1–0,1–0,1–1,,,,,,11,34,13,7,14
1978-79,1,Athletic Bilbao,,2–1,3–1,1–2,3–1,1–0,4–1,3–0,4–1,2–0,3–3,1–1,5–3,3–0,2–3,1–1,2–0,2–2,,,,,9,34,12,10,12
1978-79,2,Atlético Madrid,4–0,,1–1,1–2,4–0,1–0,3–0,1–1,3–0,0–0,2–2,2–2,1–0,1–0,2–2,0–0,2–1,3–1,,,,,3,34,14,13,7
1978-79,3,FC Barcelona,4–3,2–4,,2–0,6–0,2–1,3–0,4–0,1–0,9–0,2–0,1–3,2–0,3–0,1–0,6–0,1–1,5–0,,,,,5,34,16,6,12
1978-79,4,Burgos,1–0,0–1,1–0,,1–0,1–0,0–0,1–1,1–0,1–1,2–2,1–1,1–0,1–0,2–2,0–2,1–1,1–1,,,,,13,34,10,12,12
1978-79,5,Celta de Vigo,0–0,2–2,2–1,3–2,,0–1,2–1,1–2,2–0,2–1,2–2,1–0,3–2,1–1,1–1,1–1,0–0,5–3,,,,,16,34,9,10,15
1978-79,6,RCD Español,1–0,2–1,0–2,1–0,1–1,,2–1,2–1,2–3,2–1,1–1,2–0,1–0,2–1,2–0,1–0,1–0,1–0,,,,,8,34,15,5,14
1978-79,7,Hércules CF,0–1,0–0,0–2,1–0,2–0,3–3,,1–0,1–0,4–1,1–2,0–0,2–0,1–0,1–0,1–0,3–0,1–0,,,,,12,34,13,6,15
1978-79,8,UD Las Palmas,1–1,1–0,2–1,3–1,0–0,3–0,2–1,,1–2,1–2,2–2,2–0,3–0,4–0,2–1,0–0,2–0,0–0,,,,,6,34,14,9,11
1978-79,9,Racing de Santander,1–1,1–1,2–1,2–2,2–0,0–1,0–2,2–4,,1–0,1–1,1–0,1–0,2–4,2–3,0–2,3–1,3–2,,,,,17,34,9,4,21
1978-79,10,Rayo Vallecano,1–0,1–3,1–1,2–2,2–0,2–0,3–0,2–2,2–1,,1–1,0–4,1–1,0–0,1–0,2–1,0–1,1–0,,,,,15,34,9,11,14
1978-79,11,Real Madrid,2–1,1–1,3–1,4–1,2–0,0–0,0–0,1–1,5–1,4–1,,2–1,4–0,3–1,1–1,3–2,2–1,2–1,,,,,1,34,16,15,3
1978-79,12,Real Sociedad,2–1,0–2,2–0,4–1,1–0,2–1,2–1,2–0,3–0,2–0,0–0,,2–3,3–1,2–1,2–0,1–0,4–1,,,,,4,34,18,5,11
1978-79,13,Recreativo de Huelva,3–2,0–1,0–0,1–5,1–2,3–1,3–1,2–4,2–1,0–0,1–2,1–2,,1–2,2–1,1–1,4–3,3–0,,,,,18,34,8,5,21
1978-79,14,UD Salamanca,1–0,2–2,1–0,1–1,1–0,2–0,1–0,1–0,1–0,1–1,1–1,1–3,2–0,,3–1,0–0,3–1,3–1,,,,,10,34,13,8,13
1978-79,15,Sevilla FC,0–0,1–1,1–1,1–1,1–0,4–3,1–0,0–1,3–1,2–0,2–1,1–0,6–1,2–1,,1–1,0–2,1–0,,,,,11,34,12,9,13
1978-79,16,Sporting de Gijón,4–3,4–1,3–1,3–0,2–2,0–0,2–0,3–1,1–0,3–0,0–1,3–2,2–0,1–0,2–0,,2–0,1–0,,,,,2,34,17,9,8
1978-79,17,Valencia CF,0–0,2–0,2–1,1–0,4–0,2–1,0–0,3–1,3–1,1–1,0–1,1–0,1–0,0–0,5–2,4–0,,3–1,,,,,7,34,14,7,13
1978-79,18,Zaragoza,1–1,4–3,1–1,4–2,2–1,8–1,1–2,3–1,3–2,2–0,1–0,4–0,1–1,1–0,3–2,1–3,3–0,,,,,,14,34,12,6,16
1977-78,1,Athletic Bilbao,,1–0,0–0,0–0,1–1,6–1,4–1,4–0,2–1,2–1,3–0,6–0,2–0,1–0,3–1,2–1,1–0,4–1,,,,,3,34,16,8,10
1977-78,2,Atlético Madrid,0–1,,1–0,1–1,2–1,4–0,3–1,2–1,3–1,2–1,3–0,4–0,1–3,2–1,4–2,1–0,5–1,3–0,,,,,6,34,16,4,14
1977-78,3,FC Barcelona,3–1,1–0,,1–0,3–0,1–1,5–1,1–1,2–1,5–0,3–0,1–1,2–3,1–0,3–1,3–1,1–0,1–0,,,,,2,34,16,9,9
1977-78,4,Betis,2–2,4–3,0–0,,2–1,3–0,4–0,3–1,1–1,1–2,3–1,1–0,4–2,1–0,0–1,3–2,1–1,1–1,,,,,12,34,10,11,13
1977-78,5,Burgos,2–2,2–2,1–1,1–0,,2–1,1–0,3–2,0–0,2–1,0–0,2–1,3–2,3–2,0–2,1–0,0–0,2–0,,,,,18,34,7,8,19
1977-78,6,Cádiz CF,2–1,2–1,0–2,0–5,4–0,,0–0,2–4,0–0,3–2,0–0,2–1,1–0,2–0,0–1,0–0,1–1,1–2,,,,,17,34,11,5,18
1977-78,7,Elche CF,2–1,4–4,1–3,2–1,1–0,1–1,,2–0,2–0,2–0,3–1,3–0,3–1,1–2,2–1,1–2,1–2,0–2,,,,,14,34,12,6,16
1977-78,8,RCD Español,2–1,1–3,1–1,2–0,4–1,4–2,3–1,,2–1,0–1,0–1,2–1,1–4,2–0,2–1,2–1,2–1,2–2,,,,,15,34,10,10,14
1977-78,9,Hércules CF,1–0,1–0,2–1,2–0,0–0,0–0,0–0,1–1,,1–2,4–0,1–1,2–3,1–0,2–0,2–2,1–0,1–0,,,,,7,34,12,11,11
1977-78,10,UD Las Palmas,2–2,3–0,0–0,3–2,0–0,2–1,4–1,4–2,0–1,,3–0,1–1,1–2,1–1,0–0,2–0,2–2,1–0,,,,,13,34,11,9,14
1977-78,11,Racing de Santander,1–0,2–0,0–0,1–1,1–1,3–0,2–0,4–0,1–0,1–0,,2–1,1–0,2–2,0–3,1–1,1–0,2–2,,,,,10,34,12,9,13
1977-78,12,Rayo Vallecano,3–2,2–0,2–1,4–2,0–0,6–1,0–1,1–1,2–1,1–1,1–0,,3–2,1–0,3–3,4–1,3–1,3–0,,,,,16,34,11,8,15
1977-78,13,Real Madrid,1–0,4–2,4–0,4–0,3–0,2–0,5–1,2–1,3–0,1–1,2–0,5–2,,5–0,0–0,3–0,3–2,1–0,,,,,1,34,22,3,9
1977-78,14,Real Sociedad,2–1,4–1,1–2,3–0,3–1,6–1,3–2,1–1,0–0,4–1,2–0,1–1,2–3,,2–0,4–0,1–1,1–1,,,,,11,34,12,9,13
1977-78,15,UD Salamanca,0–3,0–1,1–0,1–0,2–0,2–1,1–0,1–0,2–0,0–0,3–0,1–0,2–1,0–0,,1–1,2–3,0–1,,,,,9,34,14,6,14
1977-78,16,Sevilla FC,0–0,3–0,2–1,1–0,1–0,1–0,3–3,3–1,2–1,1–0,1–0,2–0,1–1,1–1,2–1,,1–2,1–0,,,,,8,34,13,8,13
1977-78,17,Sporting de Gijón,2–2,3–2,1–0,4–3,3–2,3–0,3–0,1–0,2–1,0–0,3–1,1–1,0–2,6–2,3–0,1–0,,0–0,,,,,5,34,15,9,10
1977-78,18,Valencia CF,3–1,1–1,1–0,4–2,1–0,3–0,4–1,3–0,6–1,0–1,0–0,7–0,2–0,0–1,3–1,3–0,1–0,,,,,,4,34,16,7,11
1976-77,1,Athletic Bilbao,,0–1,1–3,1–0,3–0,2–2,1–1,5–2,3–0,2–1,1–1,1–0,4–1,4–2,2–0,4–0,2–1,3–1,,,,,3,34,15,8,11
1976-77,2,Atlético Madrid,2–1,,3–1,3–1,0–3,3–0,5–1,1–1,1–0,1–0,2–0,5–1,4–0,5–1,2–1,3–3,2–3,2–0,,,,,1,34,19,8,7
1976-77,3,FC Barcelona,0–2,1–1,,3–1,3–0,4–0,4–1,4–2,1–1,4–0,2–1,7–0,3–1,2–1,4–1,3–3,6–1,2–1,,,,,2,34,18,9,7
1976-77,4,Betis,2–1,1–0,1–3,,2–1,1–0,1–0,5–1,1–0,2–2,0–1,2–1,2–0,2–1,2–1,0–1,0–0,2–1,,,,,14,34,14,4,16
1976-77,5,Burgos,2–2,2–0,1–0,2–1,,1–0,3–1,1–2,1–1,4–1,3–0,1–1,3–2,2–0,0–2,1–0,4–1,2–0,,,,,17,34,9,11,14
1976-77,6,Celta de Vigo,0–0,1–0,0–0,0–0,2–1,,1–1,1–0,2–2,1–0,2–1,2–0,2–0,1–0,0–1,0–0,1–0,0–0,,,,,11,34,11,11,12
1976-77,7,Elche CF,2–1,0–1,0–0,2–0,0–0,1–1,,4–1,2–1,2–2,3–0,4–1,1–1,2–0,1–0,3–0,1–4,2–0,,,,,6,34,14,8,12
1976-77,8,RCD Español,4–0,1–4,2–3,1–1,2–1,2–0,2–0,,3–0,2–0,5–1,2–1,4–1,1–0,4–0,0–0,3–0,2–0,,,,,13,34,11,10,13
1976-77,9,Hércules CF,0–0,2–1,2–2,1–0,3–0,2–1,1–1,2–0,,2–1,1–0,2–0,0–1,2–0,4–2,0–0,2–1,1–1,,,,,4,34,15,6,13
1976-77,10,UD Las Palmas,2–1,1–1,2–1,1–1,4–1,5–1,0–0,5–0,1–0,,2–1,4–1,4–2,2–0,2–0,4–2,2–1,1–4,,,,,18,34,6,6,22
1976-77,11,CD Málaga,0–3,0–0,1–0,0–1,1–2,1–1,2–3,1–1,1–1,0–2,,1–2,2–1,2–1,1–0,0–0,0–1,2–1,,,,,15,34,12,7,15
